exp-id,paper,authors,institutes,city,country,climate-class,pub-year,data-avail,exp-months,exp-type,function,exp-hours,timing-type,sample-size-calc,sample-size-calc-type,part-payment,part-no-tot,part-male-no,part-fem-no,part-intersex-no,fem-total-ratio,age-group,age-mean,age-std,age-male-mean,age-fem-mean,bmi-range,bmi-mean,bmi-std,bmi-male-mean,bmi-fem-mean,normalisation-length,session-length,tested-t-min,tested-t-max,physio-parameter,physio-sensor-type,physio-body-site,physio-body-site-coronal,physio-body-site-sagittal,skin-body-site-code,physio-sensor-brand,physio-sensor-model,physio-mst-calculated,physio-mst-points,physio-mst-formula,env-tdb,env-rh,env-v,env-tg,env-tsurface,env-twb,env-co2,env-illuminance,env-acoustics,env-tout,env-rhout,env-voc,env-light-color,env-solar-rad,ques-thermal-comfort,ques-thermal-sensation,ques-thermal-prefer,ques-thermal-accept,ques-thermal-satisfaction,ques-thermal-pleasure,ques-thermal-pleasentness,ques-airmove-comfort,ques-airmove-sensation,ques-airmove-prefer,ques-airmove-accept,ques-humidity-sensation,ques-airmove-satisfaction,ques-shivering-rate,ques-overall-comfort,ques-overall-satisfaction,ques-humidity-comfort,ques-humidity-prefer,ques-humidity-satisfaction,ques-humidity-accept,ques-sweating-sensation,ques-visual-prefer,ques-light-comfort,ques-light-prefer,ques-light-sensation,ques-light-satisfaction,ques-iaq-comfort,ques-iaq-accept,ques-iaq-satisfaction,ques-iaq-sensation,ques-odour-intensity,ques-sick-building-syndrome,ques-acoustic-comfort,ques-acoustic-satisfaction,ques-acoustic-sensation,cognitive-test-done,cognitive-test-type,pub-type,pub-name,publisher,doi,protocol-fixed-clo,protocol-observed-clo,protocol-avoid-stimulant,protocol-avoid-activity,protocol-avoid-heavy-food,protocol-rest-sleep,protocol-circadian,protocol-mens-timing,protocol-time-btw-sessions,protocol-instruction-practice,protocol-diary,protocol-maintain-usual-habits,protocol-blinded,protocol-random-order,protocol-food-drink-control,protocol-prep-body-site,select-healthy,select-no-treatment,select-thermal-history,select-smoking,select-bmi-range,select-colour-weakness-eye-sight,select-lang-skills,select-alcohol,select-dominant-hand,select-contraceptive-type,select-activity-level,select-chronotype,select-emotinally-stable,select-neurodivergent,select-thermal-sensitivity,select-pregnancy,select-diet-weight-change,select-hormon-therapy,select-menopause,part-meta-age,part-meta-sex,part-meta-height,part-meta-weight,part-meta-bmi,part-meta-ponderal-index,part-meta-body-fat,part-meta-ethnicity,part-meta-bsa,part-meta-thermal-history,part-meta-education-profession,part-meta-thermal-sensitivity-preference,part-meta-personality,part-meta-psych-eval,part-meta-smoking,part-meta-activity-level,part-meta-health-level,part-meta-morningness,part-meta-bmr,part-meta-alcohol-use,part-meta-mens-timing,part-meta-contraceptive-type,part-meta-muscle,part-meta-reg-coffee,part-meta-reg-sleep-time,part-meta-reg-worktime
1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,,2023,Upon request,4,Lab,Office,09:00-17:30,Work-hours,NaN,n/a,Y,16,9,7,0,44.00%,Young Adult (18-27),22.7,2.7,23.1,22.1,Normal,21.3,2.8,22.4,19.9,30,180,27,30,Skin temperature,Thermochron,Chest,NaN,Anterior,5A,iButton,DS1992L,Y,4,Ramanathan,NaN,NaN,NaN,,,,,,,,,,,,,7pt_(-3)(+3),3pt_(-1)(+1),,,,,,,3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,Y,"NASA Task Load Index (TLX), CBS, Typing",J,Building and Environment,Elsevier,https://doi.org/10.1016/j.buildenv.2023.110203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,,2023,Upon request,4,Lab,Office,09:00-17:30,Work-hours,NaN,n/a,Y,16,9,7,0,44.00%,Young Adult (18-27),22.7,2.7,23.1,22.1,Normal,21.3,2.8,22.4,19.9,30,180,27,30,Skin temperature,Thermochron,Upper arm,NaN,NaN,10,iButton,DS1992L,Y,4,Ramanathan,NaN,NaN,NaN,,,,,,,,,,,,,7pt_(-3)(+3),3pt_(-1)(+1),,,,,,,3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,Y,"NASA Task Load Index (TLX), CBS, Typing",J,Building and Environment,Elsevier,https://doi.org/10.1016/j.buildenv.2023.110203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,,2023,Upon request,4,Lab,Office,09:00-17:30,Work-hours,NaN,n/a,Y,16,9,7,0,44.00%,Young Adult (18-27),22.7,2.7,23.1,22.1,Normal,21.3,2.8,22.4,19.9,30,180,27,30,Skin temperature,Thermochron,Thigh,NaN,Anterior,17A,iButton,DS1992L,Y,4,Ramanathan,NaN,NaN,NaN,,,,,,,,,,,,,7pt_(-3)(+3),3pt_(-1)(+1),,,,,,,3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,Y,"NASA Task Load Index (TLX), CBS, Typing",J,Building and Environment,Elsevier,https://doi.org/10.1016/j.buildenv.2023.110203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Effect of elevated air temperature and air velocity on thermal comfort and cognitive performance in the tropics,"Chao Cen, Siyu Cheng, Nyuk Hien Wong",National University of Singapore (NUS),Queenstown ,Singapore,,2023,Upon request,4,Lab,Office,09:00-17:30,Work-hours,NaN,n/a,Y,16,9,7,0,44.00%,Young Adult (18-27),22.7,2.7,23.1,22.1,Normal,21.3,2.8,22.4,19.9,30,180,27,30,Skin temperature,Thermochron,Calf,NaN,Posterior,22P,iButton,DS1992L,Y,4,Ramanathan,NaN,NaN,NaN,,,,,,,,,,,,,7pt_(-3)(+3),3pt_(-1)(+1),,,,,,,3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,Y,"NASA Task Load Index (TLX), CBS, Typing",J,Building and Environment,Elsevier,https://doi.org/10.1016/j.buildenv.2023.110203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Evaluation of cognitive performance in high temperature with heart rate: A pilot study,"Yuyan Chen, Zheng Wang, Xiaoyu Tian, Weiwei Liu","Central South University, Hunan University",Changsha,China,,2023,Not available for sharing,"7, 8, 9, 10, 11",Lab,Office,NaN,NaN,NaN,n/a,Y,104,52,52,0,50.00%,Young Adult (18-27),22.27,1.54,22.27,n/a,Normal,21.3,2.64,21.3,n/a,40,"145, 175, 195",26,39,Heart rate,ECG,Chest,Middle,Anterior,5AM,Suunto,Dual belt,n/a,n/a,n/a,1.5,1.5,1.5,1.5,,1.5,,1.5,,,,,,,6pt_(-2)(+2),9pt_(-4)(+4),,4pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"Typing, Stroop, d2, Visual learning, Calculation, Overlapping, Redirection, Alertness, Work performance ",J,Building and Environment,Elsevier,https://doi.org/10.1016/j.buildenv.2022.109801,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,,2024,Upon request,NaN,Lab,Office,09:00-16:00,Work-hours,Y,A priori,NaN,31,15,16,0,52.00%,"Young Adult (18-27), Adult (28-45), Older Adult (45-55)",40.7,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,480,21,28,Skin temperature,Thermochron,Neck,Middle,Anterior,4AL,iButton,NaN,Y,4,ISO9886,"0.6, 1.1","0.6, 1.1",,,,,,,,,,,,,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,PANAS,J,"International Journal of
Environmental Research
and Public Health",MDPI,https://doi.org/10.3390/ijerph21030323,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,,2024,Upon request,NaN,Lab,Office,09:00-16:00,Work-hours,Y,A priori,NaN,31,15,16,0,52.00%,"Young Adult (18-27), Adult (28-45), Older Adult (45-55)",40.7,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,480,21,28,Skin temperature,Thermochron,Hand,Left,Posterior,16PR,iButton,NaN,Y,4,ISO9886,"0.6, 1.1","0.6, 1.1",,,,,,,,,,,,,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,PANAS,J,"International Journal of
Environmental Research
and Public Health",MDPI,https://doi.org/10.3390/ijerph21030323,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,,2024,Upon request,NaN,Lab,Office,09:00-16:00,Work-hours,Y,A priori,NaN,31,15,16,0,52.00%,"Young Adult (18-27), Adult (28-45), Older Adult (45-55)",40.7,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,480,21,28,Skin temperature,Thermochron,Scapula,Right,Posterior,,iButton,NaN,Y,4,ISO9886,"0.6, 1.1","0.6, 1.1",,,,,,,,,,,,,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,PANAS,J,"International Journal of
Environmental Research
and Public Health",MDPI,https://doi.org/10.3390/ijerph21030323,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Influences of Indoor Air Temperatures on Empathy and Positive Affect,"Rania Christoforou, Hannah Pallubinsky, Tobias Maria Burgholz, Mahmoud El-Mokadem, Janine Bardey, Kai Rewitz, Dirk Müller, Marcel Schweiker",RWTH Aachen University,Aachen,Germany,,2024,Upon request,NaN,Lab,Office,09:00-16:00,Work-hours,Y,A priori,NaN,31,15,16,0,52.00%,"Young Adult (18-27), Adult (28-45), Older Adult (45-55)",40.7,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,480,21,28,Skin temperature,Thermochron,Shin,Right,Anterior,18A,iButton,NaN,Y,4,ISO9886,"0.6, 1.1","0.6, 1.1",,,,,,,,,,,,,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,PANAS,J,"International Journal of
Environmental Research
and Public Health",MDPI,https://doi.org/10.3390/ijerph21030323,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,"8, 9",Lab,Lounge,NaN,NaN,Y,Precedent,NaN,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,Skin temperature,Thermochron,Forehead,Middle,Anterior,1AM,Pyrobutton,NaN,N,n/a,n/a,NaN,NaN,NaN,NaN,,,NaN,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,,J,Energy & Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
